step,class 1,class 2,class 3,class 4,class 5
1,52903,52904,52908,52916,55082
2,52909,52913,52915,54696,57570
3,52917,53916,54308,57161,60164
4,55942,56341,56748,59725,62864
5,58457,58881,59302,62424,65693
6,61083,61525,61957,65229,68659
7,63843,64290,64753,68163,71732
8,66699,67190,67666,71235,74975
9,66699,70213,70712,74432,78353
10,66699,73383,73890,77788,83100
11,66699,73383,77219,81284,85565
12,66699,73383,77219,84935,89408
13,66699,73383,77219,84935,89408
14,66699,73383,77219,84935,89408
15,66699,73383,77219,84935,89408
16,68405,75088,78926,86642,92000
17,68405,75088,78926,86642,92000
18,68405,75088,78926,86642,92000
19,68405,75088,78926,86642,92000
20,68405,75088,78926,86642,92000
21,70113,76793,80634,88349,94592
22,70113,76793,80634,88349,94592
23,70113,76793,80634,88349,94592
24,70113,76793,80634,88349,94592
25,70113,76793,80634,88349,94592
26,71818,78500,82337,90057,97407
27,71818,78500,82337,90057,97407
28,71818,78500,82337,90057,97407
29,71818,78500,82337,90057,97407
30,71818,78500,82337,90057,97407
31,79164,85845,89684,97402,101923
32,79164,85845,89684,97402,101923
33,79164,85845,89684,97402,101923
34,79164,85845,89684,97402,101923
35,79164,85845,89684,97402,101923
36,82175,88856,92694,100413,104978
